Step,"Recorded activity, MBq","Time correction, Min"
QMA retained,24.6,0
RV not dry,1298,0
RV dry,1096,27
Small RV,290,40
Small RV empty,3.73,60
tc18 trapped,35.25,66
Non-retained,203,67
tc18 retrapped,202.3,89
Non-retained,20.74,90
tc18 retained,21.49,95
Product,154.72,97
