Step,"Recorded activity, MBq","Time correction, Min","Time_corrected_activity, MBq"
QMA retained,26.9,0,26.9
RV not dry,1324.0,0,1324.0
RV dry,1075.0,24,1250.9079515192964
Small RV,296.0,43,388.34135089342146
Small RV empty,4.74,61,6.967274707182227
tc18 trapped,36.87,65,55.581109488359516
Non-retained,205.0,66,310.99277927711347
tc18 retrapped,204.0,92,364.69368366692686
Non-retained,22.1,90,39.01266397834813
tc18 retained,21.56,98,40.031425270264364
Product,158.1,101,299.165340557542
