Step,"Recorded activity, MBq","Time correction, Min"
QMA retained,21,0
RV not dry,1286,0
RV dry,1099,24
Small RV,301,43
Small RV empty,3,58
tc18 trapped,37.5,62
Non-retained,198,69
tc18 retrapped,201,91
Non-retained,26,89
tc18 retained,23,96
Product,152,98
